# x y z vx vy vz mass
-3.491533 -12.008822 -8.203508 -4.433998 -12.730346 -9.551627 1.482028
75.720520 -86.330829 -69.919355 78.042123 -89.086219 -72.191498 1.753442
72.571206 145.426593 11.179320 74.828887 149.684700 11.452210 0.974997
-248.572933 68.788523 -47.546845 -256.203937 70.789253 -49.175977 0.609576
-374.833586 -80.968482 91.225873 -377.854607 -82.494103 91.780609 1.515452
60.058056 -10.403253 -12.456562 61.731943 -10.726260 -12.677075 1.668019
-31.118524 101.789942 31.590415 -31.930663 104.841291 32.501178 1.518565
-123.245714 -7.696209 -42.802263 -126.940870 -7.815575 -44.197776 1.377492
130.179065 -51.639912 114.117506 134.078130 -53.148587 117.547018 1.789687
-83.794337 -84.065593 47.445578 -86.528894 -86.655450 48.767720 1.576687
-118.266938 3.078535 19.953006 -121.763909 3.331967 20.424456 1.690750
45.128616 16.806431 -7.520154 46.559757 17.019760 -8.000311 0.542839
-82.537714 101.148637 -168.927958 -85.050576 104.237295 -174.072117 1.870046
-7.592691 0.090108 -3.745473 -8.440136 -0.688894 -3.785069 0.626636
-14.282517 -21.072208 17.056956 -14.726039 -21.475214 17.523376 0.728101
19.708198 -52.800226 -13.157668 20.491608 -54.106663 -13.510543 1.470670
35.709621 41.615875 67.124897 36.822942 42.825346 68.903508 1.852736
-30.771710 -4.159985 -55.667097 -31.838541 -4.689099 -57.227632 1.052552
-79.715530 -186.956421 68.705189 -82.131008 -192.704044 70.820831 1.810870
88.284952 10.743595 87.535105 90.956966 11.017719 90.015326 1.510896
-104.130832 -47.650835 74.034047 -107.037985 -49.001566 76.184435 1.633869
-96.070720 -224.930054 -514.314912 -99.033177 -231.812264 -530.341377 0.525559
-41.282491 -44.098628 -31.685010 -41.875424 -43.846671 -32.660780 1.420315
-93.772615 -41.167700 74.660125 -96.458725 -42.455435 76.644223 1.919550
2.110588 -38.129353 -15.029836 1.599332 -37.867460 -14.921104 1.713263
94.058185 73.586654 108.513837 96.814080 75.880341 111.591885 1.195939
-66.093323 -32.663685 83.587663 -68.022842 -33.647841 85.692941 1.665305
54.512100 -119.664008 -0.993173 56.127826 -123.209670 -1.144983 1.940039
60.358376 -42.296162 -1.600002 61.849544 -43.364524 -1.846876 1.627740
-5.785260 -4.215303 87.634600 -5.803590 -4.476301 90.329432 0.844790
79.297516 -159.365082 -120.635518 81.764525 -164.342776 -124.409809 0.678221
16.173917 -38.808953 -34.215761 16.739226 -39.622228 -35.314784 1.985857
38.836544 -42.761957 -26.047838 39.316771 -44.192377 -26.883917 1.092874
-140.434752 -139.573103 -15.519449 -144.738231 -143.854795 -15.990364 0.658155
167.910968 136.354081 16.369202 173.117906 140.563623 16.871849 0.687207
71.454039 -96.250301 -160.093421 73.620522 -99.248633 -165.047599 1.964721
-31.051886 97.386106 136.146561 -32.020381 100.354300 140.233004 1.734902
-81.114185 -156.455968 -3.149856 -83.645639 -161.179570 -3.222543 1.640384
11.348252 -85.801084 91.185599 11.702381 -88.225569 93.789682 1.714621
117.534403 150.785655 43.954668 121.107574 155.338902 45.231098 1.963816
115.482470 8.312158 8.524070 118.721018 8.623431 8.693761 0.736353
-97.607055 125.151128 5.481197 -100.619643 129.050944 5.662466 0.867259
-165.708527 -251.265728 70.300326 -170.604994 -259.003210 72.408422 1.410112
-36.401532 -81.954117 -48.331440 -37.537320 -84.265165 -49.716244 1.029089
-87.433469 69.137977 -115.695578 -89.992667 71.251408 -119.259780 1.890051
-123.360980 34.794674 6.164416 -127.070112 35.736723 6.372678 1.843746
-52.482560 -59.277698 115.377379 -53.976508 -61.092283 118.720716 1.188145
67.589096 56.496038 35.592694 69.791957 58.307601 36.453779 0.516909
66.116400 -4.090885 -43.644981 68.370827 -4.334226 -44.828136 1.970439
163.141381 -89.032656 -122.840137 168.196531 -91.768717 -126.641270 1.002571
295.888373 35.649244 -142.707731 304.896865 36.770304 -147.136607 1.922225
24.734127 -127.126410 138.371375 25.495236 -130.970629 142.468172 1.670948
-18.131482 75.182304 -4.189396 -18.652998 77.476898 -4.350559 1.095342
-53.961290 -19.298791 -108.086219 -55.622006 -19.781741 -111.280364 1.472066
67.518601 46.067496 -48.990584 69.857250 47.540932 -50.504223 1.871733
-205.679272 288.233613 -2.959769 -209.840422 294.367108 -3.485213 1.032098
-24.974007 20.835764 -43.512508 -25.200456 20.444145 -43.649586 1.116084
14.659765 -129.116723 -54.403678 15.089124 -132.887213 -55.991756 1.195274
30.287012 -9.925652 0.593012 29.615642 -11.009468 0.161720 1.483005
27.330921 56.465550 18.889561 28.039494 58.293413 19.736228 1.664900
-18.622679 -54.972560 63.717355 -18.992970 -56.573196 65.412569 1.415511
76.236353 15.206497 67.121164 78.405716 15.844284 69.123497 1.628115
-74.455151 174.526168 -31.329231 -77.221780 179.201781 -32.515053 1.347444
29.758238 -63.644502 58.282312 30.537831 -65.244086 60.008135 0.988880
168.521978 81.504851 -22.245635 173.548806 83.983409 -22.931395 1.852902
-19.398307 -104.228643 26.394933 -19.908506 -107.187592 27.188807 0.710919
-50.662116 48.405828 -52.198583 -52.305595 49.967955 -53.937829 1.704452
-13.944701 2.307184 -34.523377 -13.920767 2.550472 -35.814331 1.251483
0.387646 -138.477228 9.182627 0.385161 -142.672295 9.492631 1.223255
65.176979 -87.934500 18.028803 66.177945 -89.175511 17.225420 1.265387
-28.101251 -29.534270 28.393428 -28.944826 -29.550513 28.274782 1.751512
-134.969596 -7.490136 87.311032 -138.960490 -7.677038 89.792889 1.031031
-44.181030 170.479307 16.151517 -45.592445 175.800541 16.601518 1.244309
-21.753843 -30.627173 63.313379 -22.415392 -31.543340 65.100101 1.172217
-10.986659 132.600084 -49.267781 -11.452438 136.615399 -50.842584 1.434341
86.543021 -78.529789 34.629934 89.243729 -80.978693 35.713396 1.861239
-130.966473 -2.579814 71.706879 -134.853293 -2.724623 73.929212 1.539216
-133.940163 78.600961 -16.835979 -137.997512 81.027416 -17.336886 0.663728
132.714610 120.001297 33.151333 136.779766 123.655432 34.186664 1.684323
-86.728165 134.182027 79.622141 -89.412015 138.197443 82.082579 1.555916
-85.033315 61.658754 -46.577001 -87.602334 63.490020 -47.940712 1.303043
-72.237469 -34.242728 82.828176 -74.249796 -35.594724 85.351180 0.698288
4.927195 -0.260131 109.606749 5.185250 -0.035025 112.740017 1.794553
47.644177 47.983594 53.159393 49.148443 49.319365 54.925014 1.143956
32.279785 24.094758 -2.045084 33.361510 24.688723 -2.818163 1.161823
-59.654298 -93.960834 113.719741 -61.376249 -96.584588 117.042821 1.579673
-2.952083 20.729166 -113.676659 -2.919782 21.238411 -117.135477 1.757809
-136.533042 64.928791 40.656736 -140.769902 66.765732 41.948178 0.614672
-81.132225 41.748303 21.033357 -83.637381 42.965243 21.554927 0.984494
-106.146573 123.548947 54.992302 -109.423348 127.315699 56.601936 1.649686
5.300342 -0.344350 -2.912052 5.073138 -0.199500 -3.629700 1.757366
-15.330742 -26.290272 -1.403470 -15.948175 -26.776426 -1.473393 0.850729
-69.369400 -69.414587 69.059695 -71.537155 -71.648696 71.406202 1.738117
-1.481362 -32.718116 -22.642852 -2.216990 -31.923188 -23.244540 1.288959
-140.796114 -83.578115 190.490892 -145.133819 -86.114417 196.278432 1.601448
-14.057096 99.923103 52.435127 -14.287004 102.950670 53.948878 1.598113
-83.503775 -62.182414 12.459374 -85.850204 -63.899822 12.845833 1.281272
23.083450 28.464117 -16.660092 23.899374 28.005009 -15.915302 1.007040
-24.442456 -167.709730 57.224828 -25.124184 -172.702051 58.921143 1.886661
24.514643 6.376030 29.769157 25.327173 6.729678 30.586110 1.325610
-43.062638 1.227496 -13.420097 -44.096728 1.801578 -14.160173 1.586700
-105.327423 112.435821 -93.589154 -108.579013 115.872154 -96.445225 1.043163
147.681889 111.353429 39.799327 152.015774 114.770178 40.970650 1.504682
-47.977584 -7.815032 16.623629 -49.458548 -8.238200 17.301411 1.350526
-78.094902 -111.044912 -359.654753 -80.725367 -114.522749 -370.893965 0.860153
-26.516337 -6.793120 11.815497 -26.941238 -6.332272 12.400803 0.570491
-92.305758 -51.444580 130.095494 -95.116632 -53.071998 134.031028 1.843638
20.728486 26.788427 50.864047 20.302538 26.892439 51.478724 1.238301
47.438900 -107.763577 12.206332 48.894538 -110.905317 12.628148 1.489088
-38.998225 36.047632 -63.478313 -38.909802 38.739181 -66.273398 1.705394
255.546391 -21.088282 -52.414590 263.481383 -21.530650 -54.089487 1.796125
14.507539 17.851120 77.435494 15.038691 18.460307 79.686765 1.199523
-82.504316 13.491009 6.919863 -84.875507 13.841356 7.382953 1.974701
45.728759 30.257343 -114.854540 47.056934 31.304473 -118.315764 1.200428
32.550161 -63.255102 69.247420 33.759813 -65.089734 71.350180 1.230695
97.807295 -40.307182 119.958464 100.762866 -41.394197 123.550286 0.960026
-118.697293 94.829131 108.873809 -122.416855 97.786241 112.240646 1.356556
110.035968 83.259772 90.015142 113.428519 85.808376 92.695633 1.725369
39.075547 98.559099 137.651079 40.357175 101.526519 141.670001 1.358330
57.879779 178.740723 -26.402418 59.618908 184.263047 -27.216150 1.891343
86.494433 -125.171452 -50.729513 89.170963 -129.169153 -52.262728 0.535719
74.616810 126.476419 -103.164373 76.858067 130.302696 -106.329201 1.444559
161.243573 59.153058 -56.780946 166.028041 60.975121 -58.570510 0.585397
-77.538433 -57.285162 50.176238 -79.609598 -58.844286 51.771175 1.072841
37.981948 -14.484843 -4.619836 39.086279 -14.747795 -5.337756 1.417591
-32.421736 -69.217878 -60.302582 -33.487713 -71.036531 -61.910246 1.243615
107.861333 3.357824 -58.501007 110.968923 3.420712 -60.172060 1.945816
84.742744 -60.167920 -102.766617 87.313353 -61.998147 -105.891268 1.599045
-47.515044 15.834577 13.965456 -48.707240 16.050300 14.533687 1.064330
-51.856205 2.250949 -51.222138 -53.377828 2.356096 -52.570239 0.992574
